gene,barcode
Cd81,....YY......RR..........GG..YY..
Cd83,..RR....YYYY........YY..........
Cd84,........GG....GG....YY........YY
Cd86,RR......GGBBYY..................
Cd8a,..........GGGGRR..............YY
Cd8b1,YYYY..BB......RR................
Cd9,GG....YY................BB..YY..
Cdh1,..BB........RRGG......BB........
Cdh11,....RR..BB............YY..YY....
Cdh19,......GG......RR..RR..........BB
Cdh5,........BB....GG....GG....YY....
Cdkn1a,..GG......GG..YYRR..............
Cdkn3,............BBRR........RR....GG
Ceacam1,............GG......RR......YYGG
Ceacam3,......BBBB....YY..........RR....
Celsr1,......GGGG......YY........RR....
Celsr2,....GG......RR..RR..........GG..
Cenpf,BB............BB....BB..GG......
Cfd,....GGBB........BB..YY..........
Cflar,........YYBBRR......RR..........
Chek1,............GG..YYYY......GG....
Chek2,....GG......BB....YY....RR......
Chil1,..................GGGGYY....YY..
Cidea,..YYYY............GG......YY....
Ciita,..BBYY..........GG............RR
Clcf1,....RRGG................YY..BB..
Cldn4,GGBB..RRRR......................
Clec10a,..RR......RRYY..............GG..
Clec12a,YY......RR....RR......RR........
Clec14a,YY......YYYYGG..................
Clec1a,RR..........BBGG..BB............
Clec2d,..YY........BB..GG..BB..........
Clec4a1,..BB....GGRR..................BB
Clec4d,....BBGG......YY....BB..........
Clec4e,......GG....BBYY......GG........
Clec5a,....RR..YYRRBB..................
Clec7a,GG......YY....BBGG..............
Clock,......BBGG..............RR..RR..
Clu,RRBBYY................YY........
Cmklr1,..YY....YYBB....GG..............
Cntfr,..YY................YY..RR..GG..
Col11a1,..RR..BB............YY....YY....
Col12a1,GG..GG............BB........YY..
Col14a1,......RR....YY..............GGBB
Col15a1,RR......GG........BB......RR....
Col16a1,..RR....GG..............GG..BB..
Col17a1,GG......RRYY....YY..............
Col18a1,....GG......YY..BB....GG........
Col1a1,YYBB............YY....GG........
Col1a2,............BBGG....GG..BB......
Col27a1,....GGRR....RR............YY....
Col3a1,........YYGG............RRBB....
Col4a1,........RR........RRYY......YY..
Col4a2,....RR....GG................BBRR
Col4a5,..YY........GG..YY..........BB..
Col5a1,........YY....GG..BB..........GG
Col5a2,..............BB........BB..GGYY
Col5a3,RR..GG..GG......YY..............
Col6a1,......RR......GGRR......BB......
Col6a2,YY......BB......YYRR............
Col6a3,....BB....BB..BB............GG..
Col8a1,BBBB......................GG..GG
Col9a2,....YY......GG..BB........BB....
Col9a3,GG................GG..RRYY......
Coro1b,....YY..YYGG......RR............
Cotl1,..GG....RR....GG........RR......
Cpa3,......BB......BBGGRR............
Cpb1,......YY......BB..........RRBB..
Crip1,GGGG........RR........GG........
Crp,......RRGG..RR..GG..............
Cryab,..........GG......YYRR........RR
Csf1,......RR..BBYY............BB....
Csf1r,........RR............YY..BBGG..
Csf2,..RR....YY..............YYGG....
Csf2ra,........BB....BB..YY..YY........
Csf2rb,..........BBRR..BB............YY
Csf3,......GGYYRR..................RR
Csf3r,..............BB......YY..GGRR..
Csk,....BBRR....................YYYY
Cst7,....BBBB......BB..............RR
Ctla4,GGYY..............BB......GG....
Ctnnb1,....GGYY..YY..................RR
Ctsg,RRRRRR........................YY
Ctsw,..........YY......RRYY..GG......
Cuzd1,RR..................BB....BBGG..
Cx3cl1,......GGBB....GG............GG..
Cx3cr1,....RR............YY..GGYY......
Cxcl1,............GGGG............GGRR
Cxcl10,BBBB....GG..GG..................
Cxcl12,..RR..BBRR............YY........
Cxcl14,....RR........BB..GGGG..........
Cxcl16,RRYY....BB..........RR..........
Cxcl17,GG........BB..............YYBB..
Cxcl2,......BB..GG..BB....GG..........
Cxcl3,..GG........RRYY....BB..........
Cxcl5,..GG........RR..YY........YY....
Cxcl9,..............RRRR......GG..GG..
Cxcr1,....YY..BB......RR......RR......
Cxcr3,........RR..........BB....YY..RR
Cxcr4,......GGYY......GGYY............
Cxcr5,..........RRBB....GGGG..........
Cxcr6,........RRRRYY................GG
Cyp1b1,........GGBB..GGYY..............
Cyp2u1,............RR....RR....YYRR....
Cystm1,....GGRR..........YY..........GG
Dcn,GG..GGBB......................BB
Ddc,............RRBBBB......YY......
Ddit3,BB........BB....GG......BB......
Ddr1,BB........GGGG..........GG......
Ddr2,..............RR......GGGG....YY
Dhrs2,..BB..GGBB..........GG..........
Dll1,..BB..GG....GG................GG
Dll4,......RR....GG....BB....RR......
Dmbt1,YY..............RR....BB......YY
Dnmt1,..BB............RR....BBBB......
Dnmt3a,......YY..........RRBB......RR..
Dpp4,YY........GGBB....RR............
Dst,YYBB....................BB....BB
Dusp1,YYYYRR..............BB..........
Dusp2,..GG..YY........RRRR............
Dusp4,..............YYYY..BBRR........
Dusp5,..........GGYY..........BB..BB..
Dusp6,YY........YY................RRGG
Efna1,..........RR......BBRR......YY..
Efna4,................RR........YYBBGG
Efna5,YYYY....YY....................GG
Efnb1,RR......GG..........GGYY........
Efnb2,......RRGG..............BB....GG
Egf,......GG......RR....RR....BB....
Egfr,BB......BB......GG..........GG..
Eif5a,..YY..............RR....GG..YY..
Elane,..RRBBYY....BB..................
Emp3,....RR........RR......BB..GG....
Eng,..........GG......RR........YYYY
Eno1/b,BB..GG..................YY....GG
Entpd1,..............GG......YY....YYYY
Eomes,BB............YYRR........RR....
Epcam,........YY....BB..........RR..RR
Epha2,....RR..YY........BB........BB..
Epha3,......GG........BBGG......GG....
Epha4,GG........RR..........RR......BB
Epha7,..GGBB............RRBB..........
Ephb2,....BB..........GG......RRBB....
Ephb3,................BB....RR....GGBB
Ephb4,..RR..GG..............GG......RR
Ephb6,....RR..BB..........GG......YY..
Epor,............RR..GG....GGRR......
Erbb2,RR..RR..........GGRR............
Erbb3,..BB..............YYBB......YY..
Esam,..BB..YY........YY..........GG..
Esr1,..YY............BB..GG....BB....
Ets1,YY....YY........GG..RR..........
Etv4,......GGYY............GG..BB....
Etv5,....BB..GG........GG..YY........
Ezh2,..GGGGGG......BB................
Ezr,......BB..GG....RRYY............
Fabp4,................RRRR..BB..GG....
Fabp5,..YY..YY............YY........GG
Fas,......GG....RRBB....YY..........
Fasl,..YY......GG......BBBB..........
Fasn,BB............RRYY..GG..........
Fau,..YY......YY..BB..........GG....
Fcer1g,....RR..........RR..RR..BB......
Fcgbp,YY......YY..............GG..GG..
Fcgr4,....BB......BB..............BBGG
Fcrla,..RR......GGRRBB................
Fes,..........GG..........RR..BB..YY
Ffar2,..............GGYY....GGYY......
Ffar3,..RRYY......................YYGG
Ffar4,..GG..RR..BB....YY..............
Fgf1,......RRGG..........BBRR........
Fgf12,..................BB....RRRRGG..
Fgf13,......RR..............RRBBRR....
Fgf18,........BBBB......GG......YY....
Fgf2,....................GG..RR..YYBB
Fgf7,RR....RR..RR........BB..........
Fgf9,........YY..GG..........RR..YY..
Fgfr1,....GG......BB........YY......YY
Fgfr2,..........GGRR..............GGGG
Fgfr3,BBGGGG..........BB..............
Fgg,..GGRR..YY............BB........
Fgr,..............BB....GG......BBGG
Fhit,........YY..GG............GG..GG
Fkbp11,....RR......BBYY............GG..
Fkbp5,........GG....BB......RRRR......
Flt1,....RR....GG..GG..YY............
Flt3l,GG..RR............GG......BB....
Fn1,........YY..........RR..YY..BB..
Fos,....BB..YY..........RR....GG....
Foxf1,....GG................GG....BBBB
Foxp3,..........RR......YY......YYRR..
Fpr1,..............YYBBYY........GG..
Frmd8,....RRGG....YY........BB........
Fyb,........RR........BB....GG....YY
Fyn,....BB..RR..........BB..YY......
Fzd1,..............RRBB..........RRRR
Fzd3,GG....BB........BB..........GG..
Fzd4,........GG........YY..RR..GG....
Fzd5,....BB........YYGG..........BB..
