gene,barcode
Ppara,................RR..BB..RR..BB..
Ppard,........BB......GGGG..........GG
Pparg,........GGRR............GGGG....
Ppia,................RRYYRRYY........
Prf1,..BB........GGBB....GG..........
Prss2,....RR......YY....RR......YY....
Prss34,RR......YY............BB..YY....
Prtn3,..........RR..BBRR..RR..........
Psap,..BB..BBGG....BB................
Psca,..RR..............BB......BB..BB
Psd3,......RR......YY........GG....RR
Ptgdr2,........YYBB..........RRGG......
Ptgds,..............YY........BBRR..GG
Ptger4,..........GG......RR..YY..YY....
Ptges,....RR..BB..YY..........BB......
Ptges2,............YYBB..RRBB..........
Ptges3,..GG................BBBB..GG....
Ptgis,....RRRR......BBBB..............
Ptgs1,....RRBBRR....RR................
Ptgs2,GG......GG......BB......RR......
Ptk2,......RR....BB..YYRR............
Ptk6,................RR....YYRRRR....
Ptprc,......YY..RR..YY..YY............
Ptprcap,YY......GGGG....RR..............
Pttg1,GGGG......GG..................YY
Qrfpr,....GG..........YY....YY..BB....
Rac1,GG....YY....YYRR................
Rac2,........RR......BB......BB..RR..
Rack1,..............RR..........RRYYBB
Rag1,....BB......BB..GGGG............
Ramp1,......YY............RR..GG..GG..
Ramp2,YY....GGRR..............RR......
Ramp3,RRYY......RRBB..................
Rara,........YY..BB....GG..........RR
Rarb,....GG......GGRR............RR..
Rarg,..........YY......YYGG....GG....
Rarres1,..BB................BBGGYY......
Rarres2,......RRRRRR..BB................
Rb1,RR....BB....BB........RR........
Rbpj,....YY......YY......BBYY........
Reg1,BB......BB............RR..BB....
Rela,....YY................BB..RRYY..
Relt,..........BBYY....BB....GG......
Rgcc,....GGRRBBBB....................
Rgs1,....BB..........YY..RRGG........
Rgs2,..........YY........RR..BB....GG
Rgs5,......YY........GG....YYYY......
Rigi,..YYGG..BB..............YY......
Rnf43,..RR................BB..GGRR....
Ror1,......BB..........YY....BB..BB..
Rora,..........YY....GG....GG......YY
Rspo3,..YYYY..YY..RR..................
Runx3,..GG......GGYY........RR........
Rxra,....GG........YYRR............RR
Rxrb,BB................RR......GGGG..
Ryk,BB..BB......GGGG................
Ryr2,GG..BB........YY........GG......
S100a10,GGGG..YY............BB..........
S100a2,..................BBGG..GG..BB..
S100a4,BB......RR......BB..RR..........
S100a6,GG....BB....GG............YY....
S100a8,....BB................YYYY....BB
S100a9,..........BB....YYGG..RR........
S100b,........YY........RR......RRRR..
Saa1/2,YY....GG..BB................GG..
Sat1,BB......RRBB..........BB........
Scg5,BB....YY..........YY..........RR
Scgb3a1,................RR....RRGG....RR
Sec23a,........GG..BB..YY....GG........
Sec61g,......BBBB..GG........BB........
Selenop,......BB..........YY..GG..RR....
Sell,YY..........GG........BB..GG....
Selplg,........BBRR........GGBB........
Serpina1a,YY........GG........YY......BB..
Serpina3a,....YYBB................RR....GG
Serpinb5,YYRR..............YYGG..........
Serpinh1,......GG..........GG..YY......YY
Sfn,........YY..YY..GG....BB........
Sh3bgrl3,YY..RR........GG........YY......
Sigirr,..............BB..BB....RR....BB
Slc2a1,....BB....YY..GG......RR........
Slc40a1,BB..........YY..RRYY............
Slpi,..........GG..........GGRR....RR
Smad2,..RR..RR............RR..BB......
Smad3,BBGG..............YY......BB....
Smad4,........BB....BB........GG....GG
Smarcb1,YY..GG........BB......GG........
Smo,..YY....GG........BB........GG..
Snai1,....GG..BB........BBBB..........
Snai2,..RR....YY..YYRR................
Sod1,..........YY..YY............BBBB
Sod2,..............GGGG..RRBB........
Sorbs1,............YY..YY........BB..YY
Sostdc1,........GG..YY........YY......BB
Sox2,RRBB........RR..........RR......
Sox4,..............YY..BB..BB..BB....
Sox9,............RR..YY..RR........BB
Sparcl1,GG..RR........BB..............GG
Spink1,......BB........YY....GG......BB
Spock2,................YYGG........BBRR
Spp1,........YY....RR..........GGBB..
Spry2,..YYRRYY......GG................
Spry4,RR..GG......YY....GG............
Sqstm1,....YY..BB............BB......BB
Src,..RR..................RRBB....GG
Srebf1,..YY..GG..........RRRR..........
Srgn,GG..GG......GG..........BB......
Sst,..GG..........RR......RRYY......
St6gal1,........GG..RR......BB....RR....
Stat1,YY............GG..........BB..YY
Stat3,..GG......YY..........BB....YY..
Stat4,..........GG..BB......YYGG......
Stat5a,..RRGG......YY......GG..........
Stat5b,RR..........YY..........BB....GG
Stat6,BB..BBYY....................BB..
Stmn1,....BB..GGGG................YY..
Syk,..RRGG................BB....GG..
Tacstd2,........GGYY........GG..RR......
Tagln,....RR..GG..........RR........GG
Tap1,....GG............YY..BB..YY....
Tap2,..........RR..GG..BB....YY......
Tbx21,..........GGYY..RR............RR
Tcap,..........GG....RR..GG..YY......
Tcf7,BB....YY............YY..RR......
Tcl1,..........RR....YY..YY........GG
Tek,RRRR..RR....YY..................
Tert,..RRYY..........YYRR............
Tfeb,..YY..........GG........YY....RR
Tgfb1,..................GGBB..YYBB....
Tgfb2,......GGGG........GG........BB..
Tgfb3,GG......GG................GGRR..
Tgfbr1,....YY..GG............RR....BB..
Tgfbr2,......GG..GGGG..YY..............
Thbs1,........GGGGBB............YY....
Thbs2,BB..........BB......GG......GG..
Thsd4,..GG................GG..BB....RR
Tie1,..RR......GG..............YYYY..
Tigit,..........RRYY..........YYYY....
Timp1,........GGBB............BB..GG..
Tlr1,........BB......GG..YY..BB......
Tlr2,GG........BBBBBB................
Tlr3,GG..BB..........RR........YY....
Tlr4,..............RR..BBBB..BB......
Tlr5,............RRRR..YYGG..........
Tlr7,................GG......BB..YYGG
Tlr8,......BB....RRRR............BB..
Tm4sf1,BB............GG....YY....GG....
Tnf,............GG....BB..YY....BB..
Tnfaip6,RR........YY..RR............YY..
Tnfrsf10b,................RRGG....BB....BB
Tnfrsf11a,..GGYY..............GG......GG..
Tnfrsf11b,............RR..RR....YY......GG
Tnfrsf12a,......GG..BB..BB......BB........
Tnfrsf13b,....YY....BBBB............GG....
Tnfrsf14,..........RRRR....RR........BB..
Tnfrsf17,..RR..........RR......YY......BB
Tnfrsf18,YYYY............RR......YY......
Tnfrsf19,GGYY..........YY............GG..
Tnfrsf1a,........RR..........RRRR......BB
Tnfrsf1b,BB........BB..YY..............YY
Tnfrsf21,..YY..BB....................GGYY
Tnfrsf22,..YY........RR..............YYBB
Tnfrsf4,..RR......BB..GG..............GG
Tnfrsf9,....BBBB....YY..YY..............
Tnfsf10,........BBBB..RR..............RR
Tnfsf12,....BB................RRGGYY....
Tnfsf13b,....................GGRRYY..GG..
Tnfsf14,....YY........RR......GG....GG..
Tnfsf15,RR................RR..GG..BB....
Tnfsf4,RR................GG....RR..YY..
Tnfsf8,......BB....RR............BB..GG
Tnfsf9,............YYBBYY..........RR..
Tnnc1,....GG....GG............BB....BB
Tnxa,....GG................RR..GG..GG
Tnxb,BB..BB................YY..RR....
Top2a,....BBRR..YY............BB......
Tox,..BB..........GGYYYY............
Tpm1,..........YY....GG..BB......RR..
Tpm2,....YY..RR......YY..........YY..
Tpsab1,RR..YYGGYY......................
Tpsb2,......BB..BB............RRYY....
Tpt1,......YY..........GGGG....RR....
Trmt5,....RR......RR........GG..BB....
Trp53,BB........YY....RR..YY..........
Tsc22d1,....RRYY..................BB..BB
Tshz2,........GG......YY..GG........RR
Ttn,........BBGG....YY..RR..........
Ttr,............BB..BBYY..RR........
Tubb4b,......GG..BB............GG....YY
Tubb5,BBBB......RR......RR............
Twist1,RRGG..............RR........BB..
Twist2,....BB......RRYY..........GG....
Txk,..........GG..YY......GG..GG....
Tyk2,RR............GG........GGYY....
Tyms,YY..........GGRR....RR..........
Tyrobp,............YY..RR..BB....YY....
Uba52,............GG....RR..BB......BB
Ube2c,....YY..............RRRR..BB....
Upk3a,..............BBRR....RR..BB....
Vcam1,......YYGG........BB..........BB
Vcan,BBGG..BB................GG......
Vegfa,..GGGG......GG................BB
Vegfb,..BBRR......BB..BB..............
Vegfc,GGGG............YYGG............
Vegfd,..YY....YY..........GG..GG......
Vhl,............RRGGRRGG............
Vim,........BB..BB....RRRR..........
Vpreb3,........RR..............RR..GGGG
Vsir,......BB........RR....YY....BB..
Vtn,YY....RRGG................BB....
Vwa1,..RR..........BB..BB..GG........
Vwf,........GG..YY..RR......GG......
Wif1,YY..RRBB........RR..............
Wnt10b,..GG..................GGRR..BB..
Wnt11,GG..YY..........YY......YY......
Wnt3,......RR..........YYGG......GG..
Wnt5a,..BB........GG....GG..GG........
Wnt5b,............BBYY..GG......RR....
Wnt7a,......RR......YY..BB........RR..
Wnt7b,................GGGG....YY..GG..
Wnt9a,..........BBRR........RR....YY..
Xbp1,BB........GG........BB........GG
Xcl1,....RRBB..BB................YY..
Xkr4,......GG........YYBB........YY..
Ybx3,........YY....RR....GG........BB
Yes1,GGRR....................YY..RR..
Zfp36,......YYRR......YY............GG
