slice,slide,control,n,tdTomato,Cx3cr1,Csf1r,lyve1_pos,lyve1_with_bam
1,L321,False,124956,20.8473382630686,15.342200454560004,9.725823489868434,16864,1773
2,L321,False,126485,20.12965964343598,14.122623235956834,9.429576629639879,15564,1460
3,L321,True,63997,21.29474819132147,10.381736643905183,7.342531681172555,6333,499
4,L34,True,57086,18.447605367340504,8.317275689310865,5.870090740286585,4358,255
5,L34,False,206210,11.692449444740797,19.265797003055138,11.254546336259153,30404,3298
6,L34,False,267373,12.062549322482075,20.589214318573678,11.096109180807337,39262,4177
