slice,probe,cls,bg,mean,SN,pct_pos,above_bg
1,GFAP,custom,0.025446080247750393,0.3180319448586672,12.498268564832628,17.81323524538556,91.99889172798078
1,tdTomato,custom,0.025446080247750393,0.3408556185174139,13.395211175896055,21.01352023063923,92.53464550227139
1,Ccl2,custom,0.025446080247750393,0.2561470656460218,10.06626809127771,17.215926036385326,90.06583183626425
1,TMEM119,custom,0.025446080247750393,0.22540345296086423,8.858081510640186,15.215230142161248,88.71087380716902
1,Lyve1,custom,0.025446080247750393,0.18416343572919774,7.2373989996152375,12.88232760049044,86.18288144603935
1,Trem2,custom,0.025446080247750393,0.12226198760645525,4.804747388048658,9.036683566954967,79.18725129051731
1,Cxcl13,custom,0.025446080247750393,0.09788083639858171,3.84659780388907,7.382277893760149,74.00300080790981
1,GFP,custom,0.025446080247750393,0.04405673194817245,1.73137597300737,3.557344997846042,42.24246982802832
1,Meg3,panel,0.025446080247750393,1.8674818570434437,73.38976529434399,37.77462968485933,98.637412184125
1,Pecam1,panel,0.025446080247750393,0.26223614010670376,10.305561310563235,17.586241177055374,90.29650137566989
1,Cx3cr1,panel,0.025446080247750393,0.21484905722901548,8.443306597211945,14.597209795539651,88.15629885653793
1,Csf1r,panel,0.025446080247750393,0.12835934652218578,5.044366176340013,9.3432084037512,80.17590386894634
2,GFAP,custom,0.024315357967492828,0.25007069077360655,10.284474985230558,15.145290331165484,90.27660622991363
2,tdTomato,custom,0.024315357967492828,0.3288118960097137,13.522807126644071,20.47121638029973,92.60508568498553
2,Ccl2,custom,0.024315357967492828,0.23276392608240049,9.572712291284475,15.788992199065218,89.55363987163331
2,TMEM119,custom,0.024315357967492828,0.19534771544052826,8.033923074531264,13.359724555479783,87.55278099226331
2,Lyve1,custom,0.024315357967492828,0.16304619018313068,6.705481794720313,11.487666539146057,85.0868284992233
2,Trem2,custom,0.024315357967492828,0.10376573909282946,4.267497901184665,7.744382162638678,76.56706521818327
2,Cxcl13,custom,0.024315357967492828,0.09067547113321468,3.7291439942787847,6.69483208862128,73.18419450860063
2,GFP,custom,0.024315357967492828,0.047429350809201444,1.950592332327975,3.719166347865139,48.73352143210113
2,Meg3,panel,0.024315357967492828,2.4030205751734,98.82727527129131,43.72681758453785,98.98813359241679
2,Pecam1,panel,0.024315357967492828,0.24455681043229488,10.057709648331832,16.520017963773057,90.05737851891699
2,Cx3cr1,panel,0.024315357967492828,0.19055737595848374,7.836914275053637,13.050348463931073,87.23987573548958
2,Csf1r,panel,0.024315357967492828,0.12093943879842319,4.973788128478592,8.878761164983949,79.89459996749227
3,GFAP,custom,0.023859072939498585,0.24644905229932654,10.329364134317695,13.792834039095583,90.31886196481682
3,tdTomato,custom,0.023859072939498585,0.359438723690173,15.065075017861396,21.29474819132147,93.3621306311825
3,Ccl2,custom,0.023859072939498585,0.205415878869322,8.609549892831627,13.944403643920808,88.38499094090149
3,TMEM119,custom,0.023859072939498585,0.15380408456646405,6.446356275303644,10.761441942591059,84.48736065316376
3,Lyve1,custom,0.023859072939498585,0.13849086675937936,5.804536794474875,9.895776364517086,82.77209645820726
3,Trem2,custom,0.023859072939498585,0.08278513055299468,3.4697547035008336,6.1471631482725755,71.17951885788806
3,Cxcl13,custom,0.023859072939498585,0.0824882416363267,3.4573112645868065,6.025282435114146,71.07578914739362
3,GFP,custom,0.023859072939498585,0.045877150491429285,1.9228387711359847,3.6095441973842526,47.99355957394104
3,Meg3,panel,0.023859072939498585,2.7790833945341187,116.47910216718266,41.42381674140975,99.14147689895077
