slice,mean_floor,worst_neg,bar_x_floor
1,0.025446080247750393,0.0769874407661464,3.025512771184183
2,0.02431535796749283,0.07581377555263552,3.1179378750660733
3,0.023859072939498585,0.07203462662312296,3.0191712312455348
4,0.01843629866262386,0.06837052867603265,3.708473697849183
5,0.02122683383336669,0.08550954385302317,4.028370152811476
6,0.02103906407668146,0.08200147997833433,3.8975821205478556
