model,accuracy,precision,recall,f1,roc_auc,ap
LogReg,0.9745478901540523,0.9847238542890717,0.9710312862108922,0.9778296382730455,0.9961264691276279,0.9974410246883951
LogReg + PCA,0.9611520428667113,0.972972972972973,0.9594438006952491,0.9661610268378062,0.9920248671117732,0.9950760754940919
LogReg + KNN (PCA),0.9578030810448761,0.968384074941452,0.9582850521436849,0.963308095515434,0.9907281723040703,0.994438912997028
Random Forest,0.9618218352310783,0.9774881516587678,0.9559675550405562,0.9666080843585237,0.9916211444021409,0.9942993171217137
XGBoost,0.9698593436034829,0.9845971563981043,0.9629200463499421,0.9736379613356766,0.993897257628428,0.9962047812879046
