model,accuracy,precision,recall,f1,roc_auc
LogReg,0.006507635529079121,0.007768881413603174,0.00813928928215599,0.005673319487183489,0.0020731505582887283
LogReg + PCA,0.008701552580151027,0.009399815491154939,0.016284023985087683,0.007776550971463694,0.002061637604073982
LogReg + KNN (PCA),0.009010779181059502,0.00858528784308418,0.014345355515707457,0.008019114059795949,0.004155077259004394
Random Forest,0.00962583987197134,0.006398034439097559,0.014471516491404818,0.008558360687100369,0.0008011239032369375
XGBoost,0.011799174146380416,0.00789400369078534,0.018042248957510183,0.010518423585438835,0.0019524749956662444
