slice,probe,contamination,raw,corrected
1,tdTomato,0.12199397703008699,20.8473382630686,19.364416274528633
1,GFP,0.12199397703008699,3.5004321521175457,3.27475271295496
1,Lyve1,0.12199397703008699,13.495950574602261,13.421524376580557
1,Meg3,0.12199397703008699,37.52921028201927,32.7819392426134
2,tdTomato,0.244645314120991,20.12965964343598,18.477289797209156
2,GFP,0.244645314120991,3.6004269280942407,3.421749614578804
2,Lyve1,0.244645314120991,12.305016405107324,12.305016405107324
2,Meg3,0.244645314120991,42.98533422935526,24.86223662884927
3,tdTomato,0.0945632503803311,21.29474819132147,21.29474819132147
3,GFP,0.0945632503803311,3.6095441973842526,3.6095441973842526
3,Lyve1,0.0945632503803311,9.895776364517086,9.895776364517086
3,Meg3,0.0945632503803311,41.42381674140975,32.19057143303593
4,tdTomato,0.09244276939820059,18.447605367340504,18.447605367340504
4,GFP,0.09244276939820059,3.0708054514241674,3.0620467365028206
4,Lyve1,0.09244276939820059,7.634095925445819,7.620081981571664
4,Meg3,0.09244276939820059,34.237816627544404,27.251865606278248
5,tdTomato,0.176367298621472,11.692449444740797,10.698317249405944
5,GFP,0.176367298621472,1.9645022064885311,1.7564618592696764
5,Lyve1,0.176367298621472,14.74419281315164,14.729159594588042
5,Meg3,0.176367298621472,25.11565879443286,18.598516075845012
6,tdTomato,0.165510451722697,12.062549322482075,12.062549322482075
6,GFP,0.165510451722697,1.5143638288084436,1.2622815317926643
6,Lyve1,0.165510451722697,14.684354815183283,14.684354815183283
6,Meg3,0.165510451722697,26.724837586442906,26.724837586442906
